kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms
new_payment,2249d0812bba8a445e0f4bba86e696b10e1ab7aacc814b9b54b85d637710a05e,,1789785401959104000,1789785402265350000,1789785402284275000,false,98304,7,306.246,0.003,0.009,0.003,18.91,18.9,0.005209,0.0,325.171
new_payment,b8e806d80f71c3208f7a17d370a249c623b0612ee17bad4c645e9b1f2f5e08e1,,1789785401959114000,1789785402284288000,1789785402300291000,false,81920,6,325.174,0.002,0.011,0.003,15.987,15.98,0.00375,0.0,341.177
new_payment,159e12421d31be5bf8a141f8d7065c93fd01c426330b7cd271936617114fe601,,1789785401959161000,1789785402300297000,1789785402312274000,false,81920,6,341.136,0.004,0.009,0.003,11.961,11.955833,0.003417,0.0,353.113
new_payment,b6dd2d314252c71ce51b02e3d890401621f5c91e0384db34eb1edb04264a2206,,1789785401959386000,1789785402312281000,1789785402327330000,false,81920,6,352.895,0.003,0.016,0.003,15.027,15.021458,0.003792,0.0,367.944
new_payment,347ba919a5e05160702764fa0aea7e3da54ad63f050bf58530b741fb16019b27,,1789785401959399000,1789785402327338000,1789785402342277000,false,81920,6,367.939,0.003,0.01,0.003,14.923,14.918291,0.003334,0.0,382.878
new_payment,f3f75bc3b69df3cc6f752a466a0d9e5310ed2833b7df6032e86be24c6a344eb9,,1789785401959418000,1789785402342286000,1789785402357306000,false,114688,8,382.868,0.005,0.01,0.001,15.004,14.995959,0.004583,0.0,397.888
new_payment,42ba64dd7b6ea2e15a3a6fb5c368ee98ad5b04747d7d7079b81fce341c404cb7,,1789785401959450000,1789785402357315000,1789785402364359000,false,98304,7,397.865,0.003,0.015,0.004,7.022,7.012417,0.005708,0.0,404.909
new_payment,27fa21c300b66baac105e48392ffad8b4485102ae3a93caa670c1755aed4e3f7,,1789785401959457000,1789785402364370000,1789785402379283000,false,81920,6,404.913,0.004,0.011,0.003,14.895,14.88675,0.004209,0.0,419.826
new_payment,c0a5d70addda3c04ee0a03f7373455b4b9127a3aad271811d8beb4656ea562e6,,1789785401959482000,1789785402379298000,1789785402393299000,false,98304,7,419.816,0.02,0.012,0.004,13.965,13.95575,0.004542,0.0,433.817
new_payment,1871d0387dabc30eb3c94be9185be641405e1a4493aefaa941627a25a464c059,,1789785401959489000,1789785402393311000,1789785402401279000,false,81920,6,433.822,0.003,0.011,0.003,7.951,7.943333,0.003625,0.0,441.79
new_payment,f491b5dc0511276a2e7fff64fef21bb500fb5d1f59f95029939e44df8b106f0b,,1789785401959494000,1789785402401287000,1789785402408276000,false,98304,7,441.793,0.003,0.011,0.002,6.973,6.961667,0.005208,0.0,448.782
new_payment,e49c2710835bf0ba8db6c2ec4a3e51c5469650a33679fadf3923bc36e0b2a03e,,1789785401959510000,1789785402408284000,1789785402440353000,false,81920,6,448.774,0.005,0.011,0.003,32.05,32.042791,0.003333,0.0,480.843
new_payment,149c63f8b3a9c09be100035ed6bc01d50c57cf89041f4b8e5fd6a7cc68eaa3ff,,1789785401959525000,1789785402440369000,1789785402465345000,false,98304,7,480.844,0.003,0.011,0.004,24.958,24.9495,0.004375,0.0,505.82
new_payment,d352ccdc289ade3130dd4b3282cfc685480e888632a0ebea5f8c7ee77dbe357d,,1789785401959590000,1789785402465367000,1789785402484291000,false,81920,6,505.777,0.004,0.015,0.004,18.901,18.892875,0.004541,0.0,524.701
new_payment,44d3f51e1ba09ffa54716e631772c15b0c4910c50816a71c99c463fadd85d556,,1789785401959601000,1789785402484300000,1789785402502361000,false,98304,7,524.699,0.003,0.013,0.004,18.041,18.0305,0.005417,0.0,542.76
new_payment,c4a5ac5feb558c77480e45d8370d249b07e993759fb36d63031e96d9d7c822e4,,1789785401959605000,1789785402502375000,1789785402516287000,false,114688,8,542.77,0.002,0.012,0.003,13.895,13.851625,0.00475,0.0,556.682
new_payment,dfe9763b13a8666b4a11198b35d2aa8c14977d591e6f4f03a2600e64d6c1b98d,,1789785401959721000,1789785402516296000,1789785402523308000,false,81920,6,556.575,0.004,0.011,0.003,6.994,6.986916,0.00375,0.0,563.587
new_payment,1168113f635b81421f733c25cd989800fe84166dc30701cc891d09db391e778a,,1789785401959759000,1789785402523317000,1789785402535288000,false,98304,7,563.558,0.003,0.01,0.003,11.955,8.013333,0.005792,0.0,575.529
new_payment,9ed22a70abafc176129ed5bbca9cdeccb1cae4533fbdfdeac558adda52620600,,1789785401959772000,1789785402535296000,1789785402542294000,false,81920,6,575.524,0.002,0.008,0.003,6.985,6.979459,0.002959,0.0,582.522
new_payment,eb9813f9962f912caef01536c57959590f8ee81d2f6ef244ab1fd8b86e44436f,,1789785401959807000,1789785402542302000,1789785402550242000,false,98304,7,582.495,0.002,0.008,0.002,7.928,7.91925,0.00475,0.0,590.435
new_payment,887d2da1a6342c57768b679ac0a2af6f9f56a9f5b49a916f9f3589c3e701f87a,,1789785401959810000,1789785402550252000,1789785402558262000,false,98304,7,590.442,0.003,0.01,0.002,7.995,7.987042,0.003917,0.0,598.452
new_payment,a68de36e0c9765eb489ef9342030363fdfba19c2190284908c2fdb9fd115b129,,1789785401959839000,1789785402558270000,1789785402566288000,false,98304,7,598.431,0.003,0.01,0.003,8.002,7.994208,0.003958,0.0,606.449
new_payment,a5511c09b0b987375d908891e2f7acac2cfcfaa1c3ce3b4b73b5e926124fe2a7,,1789785401959861000,1789785402566297000,1789785402573316000,false,81920,6,606.436,0.002,0.009,0.002,7.006,6.999916,0.002917,0.0,613.455
new_payment,e2e931574819d070b7fe8a257b98036754cc81cd9610e9a71a57b6a76aa2fcd0,,1789785401959871000,1789785402573324000,1789785402581239000,false,98304,7,613.453,0.003,0.01,0.002,7.9,7.891875,0.005041,0.0,621.368
new_payment,e510559613e41b2c9650ae40735a8ab91ea560d8a9f919d620bed42cce00f5d4,,1789785401972473000,1789785402581247000,1789785402589248000,false,98304,7,608.774,0.005,0.014,0.005,7.977,7.967916,0.005458,0.0,616.775
new_payment,56764ac5a91598c9cc9b655d95c192e2ff3e7e53c167e9ff9f8db02759b666e0,,1789785401972536000,1789785402589261000,1789785402597285000,false,81920,6,616.725,0.002,0.007,0.003,8.012,8.007417,0.003,0.0,624.749
new_payment,cb769b3c524171e660da09ecd93914036cdc38c7382252da5339c54673ea4eeb,,1789785401972647000,1789785402597292000,1789785402605286000,false,81920,6,624.645,0.003,0.011,0.002,7.978,7.972875,0.002958,0.0,632.639
new_payment,c991cd0a64c6275716c02996d2c706ed548c1cb32b05f2d8183a81b548d43fa1,,1789785401972663000,1789785402605294000,1789785402613293000,false,98304,7,632.631,0.001,0.009,0.002,7.987,7.978833,0.004667,0.0,640.63
new_payment,e4a1d4dffa8c451272458e12db1017cf30c7fb26e4df69826750cd7f8d6a61b2,,1789785401972736000,1789785402613304000,1789785402621309000,false,98304,7,640.568,0.004,0.01,0.004,7.987,7.976833,0.005542,0.0,648.573
new_payment,9b8a97e55927dcf13f336bc2b8b5d9fa612ea4f115157843d08f3ddcad20118f,,1789785401972745000,1789785402621316000,1789785402629281000,false,81920,6,648.571,0.002,0.008,0.003,7.952,7.946416,0.003042,0.0,656.536
new_payment,067accfdb9ac27086a680556a57f5204df9a8457f716e056256eb6f237301f2e,,1789785401972750000,1789785402629289000,1789785402637250000,false,98304,7,656.539,0.002,0.01,0.004,7.945,7.937875,0.004584,0.0,664.5
